sample,location_reference,distance_from_Sanak_km,SiO2_percent,Sr_ppm,Y_ppm,Sr_Y
89ASn87C,"Tana (Sisson et al., 2003b)",1490,71.89,412,6,68.66666667
89ASn69,"Tana (Sisson et al., 2003b)",1490,77.01,90,10,9
89ASn83,"Tana (Harris et al., 1996)",1490,,228,,
89ASn87E,"Tana (Harris et al., 1996)",1490,,147,,
89ASn95,"Tana (Harris et al., 1996)",1490,,480,,
RF16-19B,Mt. Stamy (This study),1685,68.564518,425.0244556,11.5818279,36.69752817
RF16-19A,Mt. Stamy (This study),1685,70.2640708,463.6981831,5.498296934,84.33487472
95APO41b,"Mt. Stamy (Sisson et al., 2003b)",1685,71.72,207,22.8,9.078947368
RF16-32B,Mt. Draper (This study),1705,66.8494816,347.4000985,3.995279598,86.95263748
RF16-33B,Mt. Draper (This study),1705,67.7284036,177.9134747,2.697124365,65.96413462
RF16-32A,Mt. Draper (This study),1705,68.9381484,380.8635948,2.383870316,159.7669102
95APO47,"Nunatak (Sisson et al., 2003b)",1705,69.4,97,39,2.487179487
RF16-31B,Mt. Draper (This study),1705,71.0453348,293.6992656,5.952654026,49.33921312
94APo11b,"Mt. Draper (Sisson et al., 2003b)",1705,71.34,199,3,66.33333333
RF16-31A,Mt. Draper (This study),1705,71.81152,234.7324798,4.452388036,52.72058004
95APO21,"Mt. Draper (Sisson et al., 2003b)",1705,72.1,313,2.5,125.2
RF16-33A,Mt. Draper (This study),1705,72.3312832,297.1168922,2.229167241,133.2860481
94APo24,"Mt. Draper (Sisson et al., 2003b)",1705,73.88,23,2,11.5
RF16-30A,Mt. Draper (This study),1705,73.9968328,301.051962,1.325081184,227.1951075
RF16-01A,Mt. Draper (This study),1705,74.0127212,75.18120796,3.374570416,22.2787492
95APO25a,"Nunatak (Sisson et al., 2003b)",1705,75.33,548,2.7,202.962963
94APO11c,"Mt. Draper (Sisson et al., 2003b)",1705,75.58,251,1.9,132.1052632
HL19-20,Novatak Pl (This study),1770,57.2889372,322.8168463,38.06257735,8.481213538
95APO13,"Novatak (Sisson et al., 2003b)",1770,64.19,248,18.5,13.40540541
KP13-02B,Krestof Is. (This study),2085,53.62761248,252.434,27.72720431,9.104199514
KP13-02C,Krestof Is. (This study),2085,54.65901532,243.9372,27.35223678,8.91836386
KP13-01C,Krestof Is. (This study),2085,55.55683068,265.1792,34.20914462,7.751705076
KP13-02A,Krestof Is. (This study),2085,62.18810884,230.7968,20.7329258,11.13189726
KP13-01A,Krestof Is. (This study),2085,63.13540324,261.5236,17.40596379,15.02494221
CP13-07B,Baranof Is. (This study),2150,56.47095792,718.6712,20.69229988,34.73133505
CP13-07D,Baranof Is. (This study),2150,62.18568824,720.5484,17.4770598,41.22823909
CP13-12B,Baranof Is. (This study),2150,66.49179732,273.2808,14.7133259,18.57369312
CP13-01,Baranof Is. (This study),2150,66.50620236,267.3528,19.50344463,13.70797852
CP13-05A,Baranof Is. (This study),2150,66.5283564,376,10.15,37.04433498
CP13-09A,Baranof Is. (This study),2150,66.6955822,342.342,12.30902877,27.81226743
CP13-03A,Baranof Is. (This study),2150,67.13249556,434.4236,11.44867844,37.94530541
CP13-07A,Baranof Is. (This study),2150,67.32672648,367.3384,9.880274665,37.17896642
CP13-06A,Baranof Is. (This study),2150,67.40792032,292.5468,10.62659007,27.52969655
CP13-03D,Baranof Is. (This study),2150,67.94039304,392.1372,13.84762508,28.31801105
CP13-07C,Baranof Is. (This study),2150,68.00811056,171.6156,19.3837156,8.853596676
CP13-12C,Baranof Is. (This study),2150,68.4707218,345.7012,7.734672485,44.69500172
