zircon_sample,rock_sample,formation,location,age_Ma_plutons,age_Ma_plutons_error,age_Ma_seds,e_Hf_50Ma,e_Hf_50Ma_error
RB14-06-404,RB14-06,Valdez group,Seward,56.44146064,1.820786026,137.9,9.292508896,1.929185594
RB14-06-304,RB14-06,Valdez group,Seward,56.44146064,1.820786026,138.1,8.972088143,1.164308721
RB14-06-286,RB14-06,Valdez group,Seward,56.44146064,1.820786026,138.4,11.74314293,1.475792865
RB14-06-271,RB14-06,Valdez group,Seward,56.44146064,1.820786026,138.6,10.00489034,0.908175879
RB14-06-171,RB14-06,Valdez group,Seward,56.44146064,1.820786026,139.1,11.66459016,1.152678473
RB14-06-282,RB14-06,Valdez group,Seward,56.44146064,1.820786026,139.7,11.38154099,1.160039488
RB14-06-333,RB14-06,Valdez group,Seward,56.44146064,1.820786026,139.9,9.244823094,0.901659149
RB14-06-314,RB14-06,Valdez group,Seward,56.44146064,1.820786026,140.2,8.366761002,1.23939383
RB14-06-347,RB14-06,Valdez group,Seward,56.44146064,1.820786026,140.9,13.59814904,1.278083685
HB14-06-271,HB14-06,Orca group,PWS,54.55248344,1.957903042,54,5.967447415,1.185124781
HB14-06-385,HB14-06,Orca group,PWS,54.55248344,1.957903042,54,2.680482894,1.74771252
HB14-06-149,HB14-06,Orca group,PWS,54.55248344,1.957903042,54,11.80914832,1.302671931
HB14-06-171,HB14-06,Orca group,PWS,54.55248344,1.957903042,54,10.55016894,1.630444386
HB14-06-262,HB14-06,Orca group,PWS,54.55248344,1.957903042,55,3.215526605,0.878300467
HB14-06-198,HB14-06,Orca group,PWS,54.55248344,1.957903042,55,10.49634402,1.266316928
HB14-06-350,HB14-06,Orca group,PWS,54.55248344,1.957903042,55,-1.574024883,1.259714358
HB14-06-323,HB14-06,Orca group,PWS,54.55248344,1.957903042,55,1.567796941,1.288482616
HB14-06-209,HB14-06,Orca group,PWS,54.55248344,1.957903042,55,10.30244714,1.246985508
HB14-06-189,HB14-06,Orca group,PWS,54.55248344,1.957903042,55,4.012684954,1.160552471
HB14-06-275,HB14-06,Orca group,PWS,54.55248344,1.957903042,72,1.959981746,0.799030688
HB14-06-329,HB14-06,Orca group,PWS,54.55248344,1.957903042,72,8.237561776,1.442436681
HB14-06-140,HB14-06,Orca group,PWS,54.55248344,1.957903042,72,3.386134402,0.994925389
HB14-06-382,HB14-06,Orca group,PWS,54.55248344,1.957903042,72,-2.913501694,1.393152761
HB14-06-181,HB14-06,Orca group,PWS,54.55248344,1.957903042,73,3.81925679,1.159595161
HB14-06-404,HB14-06,Orca group,PWS,54.55248344,1.957903042,73,-0.862544161,1.366246346
HB14-06-403,HB14-06,Orca group,PWS,54.55248344,1.957903042,73,0.760147385,1.250629496
HB14-06-167,HB14-06,Orca group,PWS,54.55248344,1.957903042,73,5.366281494,1.576836065
HB14-06-157,HB14-06,Orca group,PWS,54.55248344,1.957903042,73,-1.893380537,1.535179379
HB14-06-173,HB14-06,Orca group,PWS,54.55248344,1.957903042,73,-1.651326292,1.864690926
HB14-06-389,HB14-06,Orca group,PWS,54.55248344,1.957903042,148,1.862425156,1.009507692
HB14-06-172,HB14-06,Orca group,PWS,54.55248344,1.957903042,149,5.28571062,1.044379461
HB14-06-168,HB14-06,Orca group,PWS,54.55248344,1.957903042,149,4.551896045,1.213201164
HB14-06-308,HB14-06,Orca group,PWS,54.55248344,1.957903042,149,5.607498737,1.05568415
HB14-06-282,HB14-06,Orca group,PWS,54.55248344,1.957903042,150,5.917001582,1.289762031
HB14-06-349,HB14-06,Orca group,PWS,54.55248344,1.957903042,150,2.601916278,1.430423294
HB14-06-381,HB14-06,Orca group,PWS,54.55248344,1.957903042,150,6.695141874,1.131220265
HB14-06-390,HB14-06,Orca group,PWS,54.55248344,1.957903042,151,10.47091536,1.142413437
HB14-06-219,HB14-06,Orca group,PWS,54.55248344,1.957903042,151,4.84852012,1.886301349
HB14-06-137,HB14-06,Orca group,PWS,54.55248344,1.957903042,151,11.2909124,1.404665031
CV14-24A-102,CV14-24A,Orca group,PWS,54.55248344,1.957903042,61.7,4.003804058,1.243558502
CV14-24A-183,CV14-24A,Orca group,PWS,54.55248344,1.957903042,61.8,1.080346773,0.970334934
CV14-24A-305,CV14-24A,Orca group,PWS,54.55248344,1.957903042,63.1,4.364242452,1.23579096
CV14-24A-297,CV14-24A,Orca group,PWS,54.55248344,1.957903042,63.5,0.105026494,1.287711592
CV14-24A-276,CV14-24A,Orca group,PWS,54.55248344,1.957903042,64.3,7.370572407,1.931293917
CV14-24A-289,CV14-24A,Orca group,PWS,54.55248344,1.957903042,64.4,1.153027611,1.600087383
CV14-24A-221,CV14-24A,Orca group,PWS,54.55248344,1.957903042,65.6,7.959995054,0.861458405
CV14-24A-139,CV14-24A,Orca group,PWS,54.55248344,1.957903042,66.1,2.780355578,1.558515397
CV14-24A-294,CV14-24A,Orca group,PWS,54.55248344,1.957903042,66.1,1.482287372,1.292843131
CV14-24A-136,CV14-24A,Orca group,PWS,54.55248344,1.957903042,68.9,5.036324811,1.137685129
CV14-24A-235,CV14-24A,Orca group,PWS,54.55248344,1.957903042,69,8.282028217,1.497931713
CV14-24A-215,CV14-24A,Orca group,PWS,54.55248344,1.957903042,69,2.501925862,1.345412182
CV14-24A-237,CV14-24A,Orca group,PWS,54.55248344,1.957903042,69.1,0.393847618,1.428001923
CV14-24A-158,CV14-24A,Orca group,PWS,54.55248344,1.957903042,69.1,4.15859046,1.502746352
CV14-24A-137,CV14-24A,Orca group,PWS,54.55248344,1.957903042,69.4,6.387953716,1.422261241
CV14-24A-296,CV14-24A,Orca group,PWS,54.55248344,1.957903042,69.5,2.704903234,0.986389255
CV14-24A-190,CV14-24A,Orca group,PWS,54.55248344,1.957903042,102.1,-1.413871045,0.996921946
CV14-24A-36,CV14-24A,Orca group,PWS,54.55248344,1.957903042,104.6,-9.493359532,1.24074283
